synthesizer_name,time_inputs,user_input,reference,reference_contexts,answer,retrieved_contexts
notes_infection_override,"{'necrotic_pct': 5, 'slough_pct': 15, 'granulation_pct': 80, 'infection': 'Not infected', 'moisture': 'Moderate', 'edge': 'Advancing'}","Structured assessment form marked 'not infected' but clinician notes report: wound has become more painful over the last 3 days, there is increased warmth and redness around wound edges, and cloudy exudate was noted today. Patient also complains of foul odour from the wound.","CLINICAL NOTES CONTAIN INFECTION INDICATORS — override applies.
Despite structured label showing 'not infected', the notes contain multiple infection red flags:
  — Increased wound pain (sign of acute infection)
  — Periwaound redness/erythema (sign of local infection)
  — Wound warmth (sign of inflammation/infection)
  — Cloudy exudate (bacterial infection indicator)
  — Foul/offensive wound odour (strong indicator of infection or colonisation)

Treat as infected wound. This maps to Wound Type 4 (Wet, infected, <25% slough/necrotic).
Recommended dressings: Silver dressing (bactericidal, no known resistance, frequency 2–3 days), or Alginate, Foam, Hydrofibre, or Polymeric membrane dressing.
Antimicrobial component is MANDATORY based on clinical signs.
Antibiotic: Yes, based on C&S report.
Reassess in 48 hours. If spreading erythema, escalate care.","['Silver: To reduce bacterial bioburden in infected wounds. Bactericidal. No known resistance. Frequency: 2 to 3 days.', 'Wet, infected wound with <25% slough/necrotic tissue: 1.Alginate 2.Foam 3.Silver 4.Hydrofiber 5.Polymeric membrane 6.Iodine base dressing.', 'Clinical notes contain infection indicators: foul/offensive wound odour (strong indicator of infection), increased wound pain (sign of acute infection), periWound redness (possible local infection), wound warmth (sign of inflammation/infection), cloudy exudate (bacterial infection indicator).']",,[]
diabetic_foot_wound,"{'necrotic_pct': 20, 'slough_pct': 30, 'granulation_pct': 50, 'infection': 'Infected', 'moisture': 'Moderate', 'edge': 'Non-advancing'}","Patient is diabetic, type 2. Wound on plantar surface of right foot. Clinically infected — erythema, warmth. 50% non-viable tissue (20% necrotic, 30% slough). Moderate exudate. Wound not progressing. Check pedal pulses requested.","Wound Type 7 (Dry/moderate, infected, >25% slough/necrotic) — diabetic foot.
REFERRAL REQUIRED: Check pedal pulses and sensation. If there is poor perfusion, referral to a diabetic foot clinic or vascular surgeon is recommended.
Dressing strategy per AJGP guidelines for diabetic foot:
Apply a primary antimicrobial dressing product with secondary dressing according to exudate level:
  — Moderate exudate: silicone foam as secondary
  — Antimicrobial primary: Silver dressing (bactericidal, no known resistance), or iodine-based (AVOID if thyroid disorder)
Silicone foams on feet, if applied, should be WITHOUT borders and anchored with tape or bandages.
Antibiotic: Yes, based on C&S report.
Surgery: Surgical/mechanical debridement strongly recommended for >25% non-viable infected tissue.","['Diabetic foot: Apply a primary antimicrobial dressing product with secondary dressing according to exudate: 1.low exudate – low-absorbent pad, 2.moderate exudate – silicone foam, 3.high exudate – absorbent pad. Check pedal pulses and sensation; if poor perfusion, referral to diabetic foot clinic or vascular surgeon.', 'Silicone foams on feet, if applied, should be without borders and anchored with tape or bandages.', 'Dry, infected wound with >25% slough/necrotic tissue: 1.Silver dressing 2.Hydrogel 3.Hydrocolloid 4.Iodine base dressing 5.Polymeric membrane. Surgical/mechanical debridement strongly recommended.']",,[]
diabetic_high_risk_nonhealing,"{'necrotic_pct': 10, 'slough_pct': 20, 'granulation_pct': 70, 'infection': 'Not infected', 'moisture': 'Low', 'edge': 'Non-advancing'}","Patient is diabetic with peripheral neuropathy. Plantar foot wound, not infected currently. Dry wound, minimal exudate. 30% slough and necrosis. Wound has not progressed despite appropriate dressing changes for 6 weeks. Patient is ambulatory — no offloading in use.","Diabetic neuropathic foot ulcer — elevated risk requiring specialist referral.
Per AJGP guidelines: Check pedal pulses and sensation. If poor perfusion, refer to diabetic foot clinic or vascular surgeon.
Dressing per wound profile (Wound Type 3/5 — dry, <25–30% slough, no active infection):
Antimicrobial primary dressing as precaution given diabetic status, with secondary dressing based on low exudate level (low-absorbent pad).
Silicone foam on feet must be applied WITHOUT borders and anchored with bandages.
Wound not progressing for 6 weeks = referral indicated.
Non-healing wound definition: wound with no signs of healing process within 2 to 4 weeks after appropriate intervention.
Note: dressing alone will not heal a neuropathic plantar ulcer — offloading is essential (total contact cast, removable cast walker, or felt foam).","['Diabetic foot: Apply a primary antimicrobial dressing product with secondary dressing. Check pedal pulses and sensation; if poor perfusion, referral to diabetic foot clinic or vascular surgeon. Silicone foams on feet without borders and anchored with tape or bandages.', 'Non-healing wound: Any wound that has no signs of healing process within 2 to 4 weeks after appropriate intervention.', 'Off-loading: elevated plantar pressure is a causative factor in development of plantar ulcers in diabetic patients. Off-loading methods include total contact casts, removable cast walkers, felt foam.']",,[]
skin_tear_elderly,"{'necrotic_pct': 0, 'slough_pct': 0, 'granulation_pct': 100, 'infection': 'Not infected', 'moisture': 'Moderate', 'edge': 'Advancing'}","Skin tear on forearm of 82-year-old patient. Flap is intact and viable. Minimal bleeding at edges. Fragile, papery skin around wound. No signs of infection. Previous nurse applied adhesive bordered foam — is this correct?","Skin tear management (AJGP Table 1):
INCORRECT dressing choice — adhesive bordered foam can cause further skin tears on fragile skin. Correct approach:

Primary dressing: Apply SILICONE-COATED foam dressing directly over the wound.
  — Reposition the skin flap before applying the dressing.
  — Do NOT use any ADHESIVE products on fragile skin — they may contribute to further skin tears, especially on forearms and hands of the elderly.
  — Non-silicone foam types should be avoided in patients with fragile skin.

Barrier wipe: Use a barrier wipe UNDER the foam to secure application, reduce maceration, and protect the skin on removal.

Removal: Use remover wipes when removing the dressing from fragile skin. Remove in a direction that does NOT disturb viable tissue edges and flaps.

If bleeding: Apply haemostatic alginate dressing as PRIMARY under the silicone foam.","['Skin tears: Apply silicone-covered foam dressing directly over the wound. Do not use any adhesive products on fragile skin as they may contribute to further skin tears, especially on forearms and hands of the elderly.', 'Using a barrier wipe under the foam aids to secure application, reduce maceration and protect the skin on removal of the dressing.', 'Remover wipes should be used when removing a dressing from fragile skin. Removal of the dressing should be done in a direction that does not disturb viable tissue edges and flaps.', 'If bleeding, apply haemostatic alginate dressing as primary dressing under a silicone-coated foam dressing. Foam: Nonsilicone types should be avoided in patients with fragile skin.']",,[]
postoperative_clean,"{'necrotic_pct': 0, 'slough_pct': 0, 'granulation_pct': 100, 'infection': 'Not infected', 'moisture': 'Low', 'edge': 'Advancing'}","Clean postoperative incision, day 3. Healing by primary intention. No exudate visible. Sutured. No signs of infection or dehiscence. Patient wants to shower daily. What dressing is appropriate?","Postoperative wound management (AJGP Table 1):
For wounds WITHOUT exudate: Dress over sutures with a FILM dressing or thin hydrocolloid.

Film dressing characteristics:
  — Permeable to gas but impermeable to bacteria and liquid
  — Transparent, facilitates easy monitoring of the wound
  — Waterproof — suitable for showering
  — Most useful for postoperative wounds healing by primary intention
  — Wear time: 1–4 days
  — Caution if patient has particularly vulnerable skin — may consider a skin protectant (barrier) product underneath

If wound dehisces: organise prompt surgical review.
Do NOT use foam or alginate — no exudate present.","['Postoperative wounds: For wounds without exudate, dress over sutures with a film or thin hydrocolloid. In case of wound dehiscence, organise prompt surgical review.', 'Film dressings: permeable to gas but impermeable to bacteria and liquid. Useful on superficial wounds with minimum exudate. Wear time 1-4 days. Most useful for postoperative wounds healing by primary intention as they facilitate easy monitoring of the wound.', 'Films: transparent with measurement grid. Bacterial barrier. Waterproof. Breathable. Frequency of dressing change: 2-5 days depending on wound.']",,[]
burn_hand_referral,"{'necrotic_pct': 0, 'slough_pct': 5, 'granulation_pct': 95, 'infection': 'Not infected', 'moisture': 'Moderate', 'edge': 'Advancing'}","Small superficial partial-thickness burn from hot water. Wound is on the palm of the right hand. Pink, moist wound bed, blistered. No signs of infection. Initial first aid with cool running water was already done.","Small superficial burn management (AJGP Table 1):
After initial first aid treatment: cover burns area with HYDROGEL, HYDROCOLLOID, or FILM dressing.

REFERRAL REQUIRED — MANDATORY for hand location:
Refer to burns specialist for burns located on hands, feet, face, or genitalia, regardless of depth or size. Hand burns always require specialist review.

Dressing options:
  — Hydrogel: provides moist environment, reduces pain, rehydrates wound bed; frequency 2–3 days
  — Hydrocolloid: maintains moist environment, promotes autolysis; frequency 2–5 days
  — Film dressing: transparent for monitoring, waterproof; wear time 1–4 days

Do NOT rupture blisters unless tense and clinically indicated.","['Small superficial burns: After initial first aid treatment, cover burns area with hydrogel or hydrocolloid or film. Refer to burns specialist for burns that are deep or infected or located on hands, feet, face or genitalia.', 'Hydrogel: Rehydrate, debride and deslough the wound. Promote moist healing. Comfortable, provides moist environment and reduces pain. Frequency: 2-3 days.', 'Hydrocolloid: Provide moist environment. Absorb exudates. Bacterial barrier. Cleans and debrids by autolysis. Easy to use. Promotes granulation tissue. Frequency: 2 to 5 days.']",,[]
dressing_change_saturation,"{'necrotic_pct': 5, 'slough_pct': 10, 'granulation_pct': 85, 'infection': 'Not infected', 'moisture': 'High', 'edge': 'Advancing'}","Foam dressing applied 3 days ago. On examination today: dressing is soiled, fluid has struck through the outer layer, and the edges are curling. When should the dressing be changed?","Change the dressing NOW — immediately.

Per clinical guidelines, a dressing must be changed when ANY of the following are present:
  1. Dressing is soiled
  2. Dressing is loose or slipping
  3. Edges are curling
  4. Fluid has accumulated / dressing is saturated (strikethrough visible)

All four conditions are present. Change is mandatory regardless of how recently the dressing was applied or what the scheduled frequency is.

Important principle: Manufacturer recommendations on frequency are GUIDELINES only — clinical judgment always takes precedence.

For this wound profile (granulating, high exudate, no infection — Type 2/clean wet): Consider alginate or hydrofibre as PRIMARY under foam to increase absorption capacity and extend wear time. Foam frequency: 2–3 days under normal conditions.","['If the dressing is soiled, loose, slipping or curling at the edges, it is obvious that it should be changed. If there is accumulation of fluid and/or debris and the dressing is saturated, it needs change. If infection is present, increased frequencies of change need to be considered.', 'Most dressings come with manufacturer recommendations on the frequency of change or how long each dressing can maintain its efficacy; however these should only be used as guidelines, clinical judgment still rules.', 'Foam: Frequency of dressing change: 2 to 3 days or longer if for offloading.']",,[]
npwt_contraindication,"{'necrotic_pct': 50, 'slough_pct': 20, 'granulation_pct': 30, 'infection': 'Infected', 'moisture': 'High', 'edge': 'Non-advancing'}","Large complex wound. 70% non-viable tissue (50% necrotic eschar, 20% slough). Infected with heavy exudate. Surgeon is considering applying NPWT vacuum dressing as the sole treatment. Is NPWT appropriate here?","NPWT is NOT appropriate as sole treatment in this wound, for two reasons:

1. NPWT IS CONTRAINDICATED in necrotic wound bed or eschar — the necrotic tissue acts as a barrier to new tissue growth. This wound has 50% necrotic tissue.
2. NPWT is an ADJUNCT treatment only. It does not replace surgical procedures and is not a panacea. It prepares the wound bed for a greater chance of successful closure.

Additional NPWT contraindications:
  — Untreated infection (deep extension of infectious focus)
  — Clotting disorders (risk of bleeding)
  — Neoplastic tissue in wound area

Correct approach for this wound (Type 8 — wet, infected, >25% necrotic):
First: Surgical/mechanical debridement (strongly recommended).
Interim dressing: Alginate, Silver dressing, Hydrofibre, Foam, Charcoal, Polymeric membrane, or Iodine-based dressing.
Antibiotic: Yes, based on C&S.
NPWT may be considered AFTER adequate debridement.","['NPWT contraindications: Clotting disorders, Necrotic wound bed or eschar (barrier to new tissue growth), Untreated infection, Neoplastic tissue in the wound area.', 'NPWT is only an adjunct to the management of chronic, acute and difficult wounds and it is not a panacea. NPWT prepares wound bed for a greater chance of successful closure. NPWT does not replace surgical procedures.', 'Wet, infected wound with >25% slough/necrotic tissue: 1.Alginate 2.Silver dressing 3.Hydrofiber 4.Foam 5.Polymeric membrane 6.Charcoal 7.Iodine base dressing. Surgical/mechanical debridement strongly recommended.']",,[]
silver_contraindicated_granulating,"{'necrotic_pct': 0, 'slough_pct': 0, 'granulation_pct': 100, 'infection': 'Not infected', 'moisture': 'Low', 'edge': 'Advancing'}","Wound is 100% healthy pink granulation tissue. No slough, no necrosis. Not infected. Dry/minimal exudate. Wound is healing well and edges advancing. Previous clinician applied a silver dressing. Is this appropriate?","INCORRECT dressing choice — silver dressing is contraindicated in this wound.

Per the Wound Care Algorithm (Type 1 — Clean healthy granulating wound):
All types of dressing material are suitable EXCEPT:
  — Silver dressings
  — Charcoal dressings
  — Special advanced dressing materials

Silver and charcoal are excluded from clean granulating wounds as they are not indicated and may be inappropriate for healthy tissue.

Correct dressing for this wound:
  — Film dressing (wear time 2–5 days): protects, allows monitoring, waterproof
  — Hydrocolloid (2–5 days): promotes autolysis, moist environment
  — Non-adherent silicone or tulle: for lightly exuding or granulating wounds
  — Foam (2–3 days): if providing cushioning/protection
No antibiotic needed. Wound may be ready for secondary closure.","['Clean, healthy granulating wound: All types of dressing material except silver, charcoal and special advanced dressing materials. No antibiotic. Ready for secondary wound closure or continue dressing till wound heals by secondary intention.', 'Non-adherent dressings (porous silicone or tulles): often used as primary dressing for lightly exuding or granulating wounds.', 'Frequency of wound dressing varies depending on type of wound and also dressing material used.']",,[]
time_assessment_mixed_wound,"{'necrotic_pct': 25, 'slough_pct': 25, 'granulation_pct': 50, 'infection': 'Infected', 'moisture': 'Moderate', 'edge': 'Non-advancing'}","50% non-viable tissue: 25% black necrosis, 25% yellow slough. 50% granulation. Infected — pus, pain, malodour. Moderate exudate. Wound edges non-advancing. What does T.I.M.E. assessment indicate and what dressing should be used?","T.I.M.E. Wound Assessment (per Garis Panduan / WCM):
  T (Tissue): 50% non-viable (25% necrotic + 25% slough) — >25% threshold met. Debridement is needed.
  I (Infection/Inflammation): Signs present — pus, pain, malodour. Treat as infected.
  M (Moisture imbalance): Moderate exudate — dressing must manage moisture balance.
  E (Epidermal margin): Non-advancing — wound is stalled.

Algorithm result: Wound Type 7 (>25% non-viable, infected, dry/moderate) — with moderate exudate trending toward Type 8.

REFERRAL REQUIRED — wound types 7 and 8 should be referred to hospital.
Interim dressings:
  Type 7: Silver dressing, Hydrogel, Hydrocolloid, Iodine-based, Polymeric membrane
  Type 8 (if heavy exudate): + Alginate, Hydrofibre, Foam, Charcoal
Antibiotic: Yes, based on C&S.
Surgery: Surgical/mechanical debridement strongly recommended.","['T.I.M.E. Wound Assessment: T=Tissue (viable/non-viable), I=Infection/Inflammation (signs and symptoms such as pus, pain, malodour), M=Moisture imbalance (exudate level dry/minimal or moderate/wet), E=Epidermal margin (advancing or non-advancing).', 'Dry, infected wound with >25% slough/necrotic tissue: Silver dressing, Hydrogel, Hydrocolloid, Iodine base dressing, Polymeric membrane. Surgical/mechanical debridement strongly recommended.', 'Wound types 6, 7 and 8: should be referred to hospital. Require extensive wound care such as surgical debridement, vacuum dressing. Systemic complications such as sepsis and cellulitis.']",,[]
dressing_selection_heavy_exudate,"{'necrotic_pct': 0, 'slough_pct': 5, 'granulation_pct': 95, 'infection': 'Not infected', 'moisture': 'High', 'edge': 'Advancing'}",Heavily exuding granulating wound. Foam dressing changed daily as it saturates within 24 hours. Periwound skin showing early maceration. What dressing options better manage very heavy exudate?,"For very heavy exudate where foam alone saturates within 24 hours, consider these alternatives or combinations (Wound Type 2 — clean wet wound):

1. ALGINATE (primary dressing):
   — Absorbs up to 20 times its own weight — highest absorption capacity
   — Forms a gel on contact with wound fluid that absorbs and contains exudate
   — Promotes healing by maintaining physiologically moist environment
   — Available in sheets or rope form; can fill cavities
   — Always needs a secondary dressing over it
   — Frequency: 2–5 days
   — Note: residue must be washed off during cleansing

2. HYDROFIBRE (primary dressing):
   — Manages heavy exuding wounds
   — Creates soft cohesive gel that conforms to wound surface
   — Comfortable and non-traumatic on removal
   — Reduces risk of maceration
   — Needs secondary dressing
   — Frequency: 2–5 days

3. FOAM (secondary or alone):
   — Highly absorbent but less so than alginate for very heavy exudate
   — Frequency: 2–3 days

For macerated periwound skin: apply skin protection/barrier before dressing.","['Alginates partially dissolve on contact with wound fluid to form a gel able to absorb up to 20 times own weight. Recommended for moderate to heavy level of exudate. Promote healing by maintaining physiologically moist environment. Available in sheet or rope form. Always covered with secondary dressing. Residue has to be washed off. Frequency: 2 to 5 days.', 'Hydrofibre: Manage heavy exuding wounds. Maintains moist healing environment. Longer wear time. Comfortable and non-traumatic upon removal. Reduces risk of maceration. Needs secondary dressings. Frequency: 2 to 5 days.', 'Foam: Absorbent. Cushioning. Conforms to body contours. Highly absorbent. Provides protection. Bacterial and waterproof. Frequency: 2 to 3 days or longer.']",,[]
